text_length,title_length,label_num,text_num_words,text_num_chars,text_num_upper,text_num_excl,text_num_quest,text_num_quotes,text_num_digits,text_num_links,title_num_words,title_num_chars,title_num_upper,title_num_excl,title_num_quest,title_num_quotes,title_num_digits,title_num_links,text_polarity,text_subjectivity,title_polarity,title_subjectivity
10,5,1,10,72,1,0,0,0,0,0,5,42,5,0,0,0,0,0,0.0,0.0,0.13636363636363635,0.45454545454545453
12,5,1,12,89,1,0,0,0,0,0,5,31,4,0,0,0,0,0,0.06818181818181818,0.22727272727272727,0.0,0.0
12,5,0,12,81,1,0,0,0,0,0,5,27,4,0,0,0,0,0,0.0,0.0,0.0,0.25
12,5,0,12,91,1,0,0,0,0,0,5,27,4,0,0,0,0,0,-0.7,0.85,0.0,0.25
10,7,1,10,72,1,0,0,0,0,0,7,44,6,0,0,0,0,0,0.0,0.0,0.13636363636363635,0.45454545454545453
12,5,1,12,89,1,0,0,0,0,0,5,31,4,0,0,0,0,0,0.06818181818181818,0.22727272727272727,0.0,0.0
12,7,0,12,81,1,0,0,0,0,0,7,43,5,0,0,0,0,0,0.0,0.0,-0.1,0.2
12,7,0,12,91,1,0,0,0,0,0,7,43,5,0,0,0,0,0,-0.7,0.85,-0.1,0.2
15,5,1,15,87,4,0,0,0,0,0,5,42,5,0,0,0,0,0,0.09166666666666667,0.25416666666666665,0.13636363636363635,0.45454545454545453
12,5,0,12,91,1,0,0,0,0,0,5,27,4,0,0,0,0,0,-0.7,0.85,0.0,0.25
15,5,1,15,87,4,0,0,0,0,0,5,31,4,0,0,0,0,0,0.09166666666666667,0.25416666666666665,0.0,0.0
12,5,0,12,81,1,0,0,0,0,0,5,27,4,0,0,0,0,0,0.0,0.0,0.0,0.25
12,7,0,12,91,1,0,0,0,0,0,7,43,5,0,0,0,0,0,-0.7,0.85,-0.1,0.2
12,5,0,12,91,1,0,0,0,0,0,5,41,5,0,0,0,0,0,-0.7,0.85,-0.4,0.7
10,5,1,10,72,1,0,0,0,0,0,5,31,4,0,0,0,0,0,0.0,0.0,0.0,0.0
10,5,1,10,72,1,0,0,0,0,0,5,31,4,0,0,0,0,0,0.0,0.0,0.0,0.0
12,7,0,12,81,1,0,0,0,0,0,7,43,5,0,0,0,0,0,0.0,0.0,-0.1,0.2
16,7,0,16,80,1,0,0,0,3,0,7,43,5,0,0,0,0,0,-0.12954545454545455,0.525,-0.1,0.2
16,7,0,16,80,1,0,0,0,3,0,7,43,5,0,0,0,0,0,-0.12954545454545455,0.525,-0.1,0.2
10,5,1,10,72,1,0,0,0,0,0,5,31,4,0,0,0,0,0,0.0,0.0,0.0,0.0
15,5,1,15,87,4,0,0,0,0,0,5,31,4,0,0,0,0,0,0.09166666666666667,0.25416666666666665,0.0,0.0
12,5,0,12,91,1,0,0,0,0,0,5,41,5,0,0,0,0,0,-0.7,0.85,-0.4,0.7
15,5,1,15,87,4,0,0,0,0,0,5,31,4,0,0,0,0,0,0.09166666666666667,0.25416666666666665,0.0,0.0
12,5,0,12,81,1,0,0,0,0,0,5,41,5,0,0,0,0,0,0.0,0.0,-0.4,0.7
12,7,1,12,89,1,0,0,0,0,0,7,44,6,0,0,0,0,0,0.06818181818181818,0.22727272727272727,0.13636363636363635,0.45454545454545453
12,5,0,12,81,1,0,0,0,0,0,5,41,5,0,0,0,0,0,0.0,0.0,-0.4,0.7
15,5,1,15,87,4,0,0,0,0,0,5,31,4,0,0,0,0,0,0.09166666666666667,0.25416666666666665,0.0,0.0
16,7,0,16,80,1,0,0,0,3,0,7,43,5,0,0,0,0,0,-0.12954545454545455,0.525,-0.1,0.2
16,5,0,16,80,1,0,0,0,3,0,5,41,5,0,0,0,0,0,-0.12954545454545455,0.525,-0.4,0.7
10,5,1,10,72,1,0,0,0,0,0,5,31,4,0,0,0,0,0,0.0,0.0,0.0,0.0
12,5,0,12,81,1,0,0,0,0,0,5,27,4,0,0,0,0,0,0.0,0.0,0.0,0.25
